datetime,open,high,low,close,volume
2025-09-08 08:15:00,332.17,332.43,332.09,332.43,5604.0
2025-09-08 08:20:00,332.74,332.75,332.7,332.71,1785.0
2025-09-08 08:25:00,332.7,332.7,332.7,332.7,188.0
2025-09-08 08:30:00,332.49,332.49,332.49,332.49,218.0
2025-09-08 08:35:00,332.5,332.68,332.5,332.68,2522.0
2025-09-08 08:50:00,332.52,332.52,332.46,332.5,3592.0
2025-09-08 08:55:00,332.5,332.5,332.31,332.47,932.0
2025-09-08 09:10:00,332.62,332.62,332.62,332.62,662.0
2025-09-08 09:25:00,332.5,332.5,332.5,332.5,998.0
2025-09-08 09:30:00,332.45,332.45,332.45,332.45,100.0
2025-09-08 09:35:00,332.49,332.56,332.49,332.56,544.0
2025-09-08 09:40:00,332.68,332.78,332.67,332.78,1661.0
2025-09-08 09:45:00,332.67,332.67,332.67,332.67,150.0
2025-09-08 09:50:00,332.7,332.7,332.7,332.7,233.0
2025-09-08 10:10:00,332.8,333.3,332.8,333.3,5694.0
2025-09-08 10:15:00,333.25,333.35,332.99,332.99,5616.0
2025-09-08 10:20:00,332.93,333.08,332.93,333.08,1500.0
2025-09-08 10:25:00,333.08,333.14,333.08,333.14,2050.0
2025-09-08 10:30:00,333.08,333.1,332.97,333.04,1923.0
2025-09-08 10:35:00,332.97,333.0,332.84,332.9,3177.0
2025-09-08 10:40:00,332.97,332.98,332.85,332.87,7392.0
2025-09-08 10:45:00,332.92,332.92,332.83,332.83,2200.0
2025-09-08 10:50:00,332.68,332.68,332.68,332.68,422.0
2025-09-08 10:55:00,332.73,332.74,332.73,332.74,1604.0
2025-09-08 11:00:00,332.62,332.9,332.62,332.9,5436.0
2025-09-08 11:05:00,332.8,332.8,332.75,332.75,804.0
2025-09-08 11:10:00,332.8,332.8,332.71,332.71,2344.0
2025-09-08 11:15:00,332.77,332.9,332.71,332.9,6108.0
2025-09-08 11:20:00,332.9,333.0,332.9,333.0,5000.0
2025-09-08 11:25:00,332.85,332.85,332.85,332.85,1412.0
2025-09-08 11:30:00,332.91,333.0,332.91,333.0,2072.0
2025-09-08 11:35:00,332.88,332.88,332.85,332.85,2608.0
2025-09-08 11:40:00,332.8,332.9,332.63,332.8,5371.0
2025-09-08 11:45:00,332.61,332.8,332.58,332.8,5271.0
2025-09-08 11:50:00,332.8,333.05,332.8,333.05,6905.0
2025-09-08 11:55:00,332.96,333.18,332.96,333.11,14955.0
2025-09-08 12:00:00,332.62,333.47,329.65,333.33,64832.0
2025-09-08 12:05:00,333.3575,333.3575,333.02,333.05,2082.0
2025-09-08 12:10:00,333.044,333.044,332.6522,333.0,6177.0
2025-09-08 12:15:00,333.0,333.3399,332.86,333.174,1010.0
2025-09-08 12:20:00,332.89,332.9995,332.89,332.9995,254.0
2025-09-08 12:25:00,332.8302,333.04,332.8302,332.99,6877.0
2025-09-08 12:30:00,332.8041,333.3494,332.8041,333.15,8987.0
2025-09-08 12:35:00,333.1,333.19,333.09,333.12,3732.0
2025-09-08 12:40:00,333.15,333.2399,333.12,333.19,2663.0
2025-09-08 12:45:00,333.26,333.35,333.13,333.35,3315.0
2025-09-08 12:50:00,333.3494,333.74,333.25,333.74,23846.0
