datetime,open,high,low,close
2025-04-02 10:00:00,558.71,558.8661,558.37,558.59
2025-04-02 10:00:03,558.61,558.86,558.5801,558.81
2025-04-02 10:00:06,558.82,559.07,558.7836,559.0699
2025-04-02 10:00:09,559.0799,559.09,559.01,559.0302
2025-04-02 10:00:12,559.03,559.19,558.8724,558.8724
2025-04-02 10:00:15,559.16,559.28,559.11,559.252
2025-04-02 10:00:18,559.2799,559.48,559.2339,559.4201
2025-04-02 10:00:21,559.4104,559.4599,559.31,559.33
2025-04-02 10:00:24,559.355,559.3688,559.1,559.14
2025-04-02 10:00:27,559.14,559.16,559.035,559.14
2025-04-02 10:00:30,559.14,559.23,559.12,559.1687
2025-04-02 10:00:33,559.17,559.28,559.165,559.215
2025-04-02 10:00:36,559.2197,559.25,559.2,559.24
2025-04-02 10:00:39,559.2488,559.35,559.22,559.35
2025-04-02 10:00:42,559.34,559.5,559.34,559.43
2025-04-02 10:00:45,559.4394,559.49,558.9548,559.485
2025-04-02 10:00:48,559.47,559.6,559.47,559.54
2025-04-02 10:00:51,559.5448,559.68,559.54,559.68
2025-04-02 10:00:54,559.6959,559.73,559.67,559.7198
2025-04-02 10:00:57,559.72,559.87,559.72,559.79
2025-04-02 10:01:00,559.855,559.94,559.7839,559.84
2025-04-02 10:01:03,559.85,559.91,559.83,559.85
2025-04-02 10:01:06,559.83,559.83,559.73,559.75
2025-04-02 10:01:09,559.77,559.855,559.71,559.85
2025-04-02 10:01:12,559.5054,559.9,559.1977,559.86
2025-04-02 10:01:15,559.87,560.09,559.87,560.0881
2025-04-02 10:01:18,560.08,560.12,560.02,560.0812
2025-04-02 10:01:21,560.09,560.1,560.03,560.07
2025-04-02 10:01:24,560.07,560.15,560.02,560.1
2025-04-02 10:01:27,560.07,560.12,559.99,560.005
2025-04-02 10:01:30,560.01,560.05,559.2383,559.99
2025-04-02 10:01:33,559.99,560.05,559.9,560.02
2025-04-02 10:01:36,560.0488,560.05,559.12,560.0
2025-04-02 10:01:39,560.01,560.18,559.98,560.13
2025-04-02 10:01:42,560.15,560.2,560.12,560.1501
2025-04-02 10:01:45,560.17,560.3,559.9154,560.26
2025-04-02 10:01:48,560.2712,560.315,560.2301,560.25
2025-04-02 10:01:51,560.25,560.3,560.1531,560.16
2025-04-02 10:01:54,560.17,560.22,560.12,560.17
2025-04-02 10:01:57,560.1708,560.2,560.13,560.14
2025-04-02 10:02:00,560.15,560.32,559.3516,560.3
2025-04-02 10:02:03,560.2999,560.37,560.285,560.36
2025-04-02 10:02:06,560.37,560.48,560.3347,560.47
