datetime,open,high,low,close
2025-04-02 04:00:00,560.28,560.28,559.35,559.41
2025-04-02 04:01:00,559.46,559.46,559.23,559.25
2025-04-02 04:02:00,559.22,559.38,559.22,559.32
2025-04-02 04:03:00,559.38,559.46,559.36,559.36
2025-04-02 04:04:00,559.34,559.34,559.19,559.23
2025-04-02 04:05:00,559.23,559.23,559.09,559.16
2025-04-02 04:06:00,559.22,559.24,559.07,559.07
2025-04-02 04:07:00,559.03,559.06,558.9,559.05
2025-04-02 04:08:00,559.05,559.13,559.04,559.05
2025-04-02 04:09:00,559.12,559.19,559.12,559.18
2025-04-02 04:10:00,559.16,559.2,559.1,559.1
2025-04-02 04:11:00,559.11,559.18,559.05,559.18
2025-04-02 04:12:00,559.16,559.16,559.09,559.09
2025-04-02 04:13:00,559.28,559.45,559.28,559.3
2025-04-02 04:14:00,559.25,559.25,559.19,559.19
2025-04-02 04:15:00,559.25,559.29,559.16,559.27
2025-04-02 04:16:00,559.26,559.32,559.18,559.18
2025-04-02 04:17:00,559.24,559.3,559.24,559.3
2025-04-02 04:18:00,559.3,559.3,559.24,559.24
2025-04-02 04:19:00,559.25,559.25,559.18,559.19
2025-04-02 04:20:00,559.23,559.23,559.2,559.2
2025-04-02 04:21:00,559.21,559.43,559.21,559.43
2025-04-02 04:22:00,559.46,559.62,559.46,559.46
2025-04-02 04:23:00,559.47,559.48,559.47,559.48
2025-04-02 04:24:00,559.4,559.4,559.16,559.18
2025-04-02 04:25:00,559.23,559.25,559.23,559.25
2025-04-02 04:26:00,559.31,559.5,559.3,559.5
2025-04-02 04:27:00,559.55,559.55,559.55,559.55
2025-04-02 04:28:00,559.68,559.73,559.68,559.71
2025-04-02 04:29:00,559.67,559.68,559.67,559.68
2025-04-02 04:30:00,559.57,559.62,559.55,559.59
2025-04-02 04:31:00,559.62,559.62,559.58,559.58
2025-04-02 04:32:00,559.69,559.9,559.69,559.9
2025-04-02 04:33:00,559.98,560.07,559.98,560.07
2025-04-02 04:34:00,560.07,560.08,560.01,560.01
2025-04-02 04:35:00,559.74,559.79,559.74,559.77
2025-04-02 04:36:00,559.74,559.78,559.69,559.72
2025-04-02 04:37:00,559.91,559.91,559.9,559.9
2025-04-02 04:38:00,559.84,559.9,559.77,559.77
2025-04-02 04:39:00,559.91,559.91,559.91,559.91
2025-04-02 04:40:00,559.9,559.9,559.86,559.89
2025-04-02 04:41:00,559.98,559.99,559.89,559.92
2025-04-02 04:42:00,559.86,560.24,559.86,560.11
2025-04-02 04:43:00,560.07,560.16,559.91,559.91
2025-04-02 04:44:00,559.87,559.91,559.86,559.91
2025-04-02 04:45:00,559.86,559.86,559.77,559.81
2025-04-02 04:46:00,559.77,559.81,559.74,559.81
2025-04-02 04:47:00,559.77,559.81,559.74,559.81
2025-04-02 04:48:00,559.8,559.88,559.79,559.88
2025-04-02 04:49:00,559.8,559.8,559.77,559.77
2025-04-02 04:50:00,559.85,559.85,559.74,559.74
2025-04-02 04:51:00,559.76,559.79,559.69,559.71
2025-04-02 04:52:00,559.62,559.62,559.47,559.47
2025-04-02 04:53:00,559.45,559.47,559.4,559.47
2025-04-02 04:54:00,559.47,559.47,559.47,559.47
2025-04-02 04:55:00,559.5,559.5,559.49,559.49
2025-04-02 04:56:00,559.55,559.55,559.42,559.45
2025-04-02 04:57:00,559.4,559.43,559.35,559.38
2025-04-02 04:58:00,559.38,559.38,559.32,559.32
2025-04-02 04:59:00,559.37,559.41,559.35,559.39
2025-04-02 05:00:00,559.32,559.34,559.25,559.28
2025-04-02 05:01:00,559.29,559.34,559.29,559.34
2025-04-02 05:02:00,559.41,559.42,559.31,559.42
2025-04-02 05:03:00,559.38,559.44,559.38,559.44
2025-04-02 05:04:00,559.38,559.47,559.38,559.42
2025-04-02 05:05:00,559.38,559.48,559.38,559.46
2025-04-02 05:06:00,559.58,559.68,559.57,559.68
2025-04-02 05:07:00,559.68,559.68,559.68,559.68
2025-04-02 05:08:00,559.71,559.71,559.66,559.66
2025-04-02 05:09:00,559.67,559.81,559.65,559.79
2025-04-02 05:10:00,559.78,559.8,559.7,559.7
2025-04-02 05:11:00,559.7,559.84,559.7,559.84
2025-04-02 05:12:00,559.84,559.87,559.84,559.87
2025-04-02 05:13:00,559.85,559.85,559.78,559.85
2025-04-02 05:14:00,559.84,559.84,559.64,559.66
2025-04-02 05:15:00,559.59,559.62,559.58,559.62
2025-04-02 05:16:00,559.6,559.61,559.55,559.6
2025-04-02 05:17:00,559.53,559.54,559.47,559.48
2025-04-02 05:18:00,559.48,559.51,559.37,559.51
2025-04-02 05:19:00,559.42,559.42,559.36,559.42
2025-04-02 05:20:00,559.42,559.46,559.37,559.46
2025-04-02 05:21:00,559.42,559.45,559.42,559.45
2025-04-02 05:22:00,559.52,559.53,559.52,559.53
2025-04-02 05:23:00,559.46,559.46,559.42,559.45
2025-04-02 05:24:00,559.43,559.43,559.32,559.35
2025-04-02 05:25:00,559.35,559.35,559.32,559.35
2025-04-02 05:26:00,559.28,559.28,559.23,559.23
2025-04-02 05:27:00,559.18,559.21,559.1,559.12
2025-04-02 05:28:00,559.14,559.17,559.08,559.17
2025-04-02 05:29:00,559.22,559.22,559.17,559.17
2025-04-02 05:30:00,559.13,559.15,559.09,559.15
2025-04-02 05:31:00,559.3,559.37,559.27,559.33
2025-04-02 05:32:00,559.38,559.43,559.38,559.43
2025-04-02 05:33:00,559.38,559.38,559.38,559.38
2025-04-02 05:34:00,559.28,559.35,559.27,559.35
2025-04-02 05:35:00,559.34,559.41,559.34,559.4
2025-04-02 05:36:00,559.37,559.5,559.37,559.5
2025-04-02 05:37:00,559.57,559.76,559.57,559.76
2025-04-02 05:38:00,559.75,559.77,559.7,559.75
2025-04-02 05:39:00,559.61,559.61,559.61,559.61
2025-04-02 05:40:00,559.61,559.61,559.56,559.56
2025-04-02 05:41:00,559.57,559.57,559.48,559.48
2025-04-02 05:42:00,559.6,559.71,559.6,559.7
2025-04-02 05:43:00,559.69,559.71,559.68,559.71
2025-04-02 05:44:00,559.73,559.74,559.73,559.74
2025-04-02 05:45:00,559.73,559.74,559.73,559.74
2025-04-02 05:46:00,559.53,559.54,559.52,559.52
2025-04-02 05:47:00,559.52,559.52,559.48,559.48
